water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,15000.0,366000
32.89473684210526,-249889.19667590025,366000
65.78947368421052,-452451.52354570635,366000
98.68421052631578,-592686.9806094182,366000
131.57894736842104,-670595.567867036,366000
164.4736842105263,-686177.2853185595,366000
197.36842105263156,-639432.1329639889,366000
230.26315789473682,-530360.110803324,366000
263.1578947368421,-358961.21883656504,366000
296.05263157894734,-125235.45706371171,366000
328.9473684210526,170817.17451523524,366000
361.84210526315786,529196.6759002763,366000
394.7368421052631,949903.0470914124,366000
427.6315789473684,1432936.288088643,366000
460.52631578947364,1978296.3988919663,366000
493.4210526315789,2585983.3795013838,366000
526.3157894736842,3255997.2299168976,366000
559.2105263157894,3988337.9501385028,366000
592.1052631578947,4783005.540166206,366000
625.0,5640000.0,366000
